City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
480,Sabang,ID,84.2,overcast clouds,5.8933,95.3214,Hotel Citra
481,Halifax,CA,71.49,overcast clouds,44.6453,-63.5724,Hotel Halifax and Hotel Barrington
482,Andapa,MG,65.88,broken clouds,-14.65,49.65,Ramanandraibe Andapa
483,Hirara,JP,78.94,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
485,Apex,US,83.03,broken clouds,35.7327,-78.8503,Homewood Suites by Hilton Raleigh/Cary
490,Moron,AR,55.29,clear sky,-34.6534,-58.6198,Hotel Morón
491,Binzhou,CN,67.41,clear sky,37.3667,118.0167,Hampton By Hilton Binzhou
492,Ambilobe,MG,70.27,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
496,Naifaru,MV,82.53,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
498,Dicabisagan,PH,79.07,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
500,Chuy,UY,56.5,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
501,Cidreira,BR,63.9,moderate rain,-30.1811,-50.2056,Hotel Castelo
506,Mana,GF,78.76,scattered clouds,5.6592,-53.7767,LE SAMANA
508,Erzin,TR,71.37,clear sky,36.9559,36.2,Artemis Otel
509,Dindori,IN,79.83,clear sky,22.95,81.0833,Konark Marriage Garden
511,Amahai,ID,77.59,broken clouds,-3.3333,128.9167,HOTEL ISABELA
512,Jeremie,HT,83.03,scattered clouds,18.65,-74.1167,Auberge’Inn
513,Bataipora,BR,72.25,few clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
516,Saldanha,ZA,55.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
517,Bria,CF,68.58,light rain,6.5423,21.9863,WFP Guesthouse
518,Sechura,PE,75.0,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
519,Santa Maria,BR,65.5,broken clouds,-29.6842,-53.8069,Hotel Morotin
